sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,built_year,has_individual_heating,has_central_heating
151.0,100.0,3,2.0,6,1235,314000,HouseType 1: Pisos,,True,False
69.0,,3,1.0,4,570,107000,HouseType 1: Pisos,1961.0,,
170.0,,3,2.0,8,1262,325000,HouseType 5: Áticos,2010.0,True,False
48.0,39.0,2,1.0,,489,89000,HouseType 1: Pisos,1971.0,,
98.0,,3,2.0,7,1161,284900,HouseType 1: Pisos,2001.0,True,False
50.0,,1,1.0,7,686,135000,HouseType 1: Pisos,2008.0,True,False
136.0,92.0,3,2.0,5,1009,230000,HouseType 5: Áticos,1999.0,True,False
80.0,,3,1.0,3,791,163000,HouseType 1: Pisos,,,
95.0,90.0,3,1.0,2,868,185000,HouseType 1: Pisos,1975.0,True,False
56.0,,3,1.0,5,447,80000,HouseType 1: Pisos,1965.0,,
43.0,35.0,1,1.0,Bajo,466,84000,HouseType 1: Pisos,1971.0,,
72.0,,3,1.0,3,625,119900,HouseType 1: Pisos,,,
100.0,,4,2.0,1,762,154900,HouseType 1: Pisos,,,
70.0,,3,1.0,4,625,119900,HouseType 1: Pisos,,,
60.0,,2,1.0,Bajo,446,79900,HouseType 1: Pisos,,,
60.0,,2,1.0,2,446,79900,HouseType 1: Pisos,,,
91.0,,3,2.0,3,666,129900,HouseType 1: Pisos,,,
74.0,,3,1.0,2,539,99900,HouseType 1: Pisos,,,
110.0,,3,2.0,5,1135,275000,HouseType 1: Pisos,,,
83.0,,3,1.0,3,501,91500,HouseType 1: Pisos,1966.0,,
25.0,,0,1.0,,662,129000,,,,
65.0,,2,1.0,Entreplanta exterior,479,86860,HouseType 1: Pisos,1982.0,,
58.0,48.0,3,1.0,3,561,105000,HouseType 1: Pisos,1966.0,True,False
115.0,,3,2.0,6,967,216000,HouseType 1: Pisos,2001.0,True,False
82.0,73.0,3,1.0,4,625,120000,HouseType 1: Pisos,1960.0,True,False
83.0,,3,1.0,Bajo,686,135000,HouseType 1: Pisos,1985.0,True,False
90.0,76.0,2,1.0,Bajo,954,212000,HouseType 1: Pisos,2002.0,True,False
95.0,87.0,2,2.0,5,864,184000,HouseType 1: Pisos,2011.0,True,False
89.0,,3,1.0,Bajo,780,160000,HouseType 1: Pisos,,,
178.0,,4,2.0,5,1200,299990,HouseType 1: Pisos,,True,False
59.0,,2,1.0,2,613,117000,HouseType 1: Pisos,,True,False
100.0,,4,1.0,Bajo,798,165000,HouseType 1: Pisos,,False,True
68.0,63.0,3,1.0,4,517,95000,HouseType 1: Pisos,,True,False
50.0,,2,1.0,2,566,106000,HouseType 1: Pisos,,,
114.0,,4,2.0,2,1006,229000,HouseType 1: Pisos,1987.0,True,False
81.0,,3,2.0,3,762,155000,HouseType 1: Pisos,1999.0,True,False
91.0,77.0,2,2.0,5,1004,228208,HouseType 1: Pisos,2020.0,True,False
95.0,,3,1.0,3,539,100000,HouseType 1: Pisos,1970.0,True,False
80.0,,3,1.0,Bajo,705,140000,HouseType 1: Pisos,,True,False
60.0,56.0,2,1.0,3,561,105000,HouseType 1: Pisos,1967.0,,
80.0,,3,1.0,3,798,165000,HouseType 1: Pisos,1977.0,False,True
60.0,50.0,2,1.0,5,413,73000,HouseType 1: Pisos,1960.0,True,False
50.0,,1,1.0,6,777,159000,HouseType 1: Pisos,2007.0,True,False
136.0,76.0,3,1.0,1,690,135990,HouseType 1: Pisos,1967.0,,
96.0,,2,2.0,7,948,210000,HouseType 1: Pisos,2001.0,True,False
71.0,60.0,2,2.0,2,910,198000,HouseType 1: Pisos,2001.0,True,False
74.0,,2,1.0,1,705,139900,HouseType 1: Pisos,1966.0,True,False
65.0,60.0,2,1.0,2,583,110000,HouseType 1: Pisos,1962.0,True,False
93.0,87.0,3,1.0,9,780,160000,HouseType 1: Pisos,1976.0,False,True
75.0,70.0,3,1.0,2,553,103000,HouseType 1: Pisos,1968.0,True,False
63.0,,3,1.0,Entreplanta interior,539,100000,HouseType 1: Pisos,,,
65.0,,3,1.0,4,494,90000,HouseType 1: Pisos,,,
115.0,92.0,3,1.0,1,762,154900,HouseType 4: Dúplex,1975.0,True,False
63.0,60.0,2,1.0,2,458,82260,HouseType 1: Pisos,,True,False
72.0,67.0,3,1.0,6,703,139400,HouseType 1: Pisos,1961.0,True,False
100.0,,2,2.0,Bajo,762,154900,HouseType 1: Pisos,,True,False
90.0,70.0,3,2.0,3,762,155000,HouseType 1: Pisos,1998.0,,
66.0,60.0,3,1.0,2,485,88000,HouseType 1: Pisos,,,
102.0,,3,2.0,5,994,225000,HouseType 1: Pisos,,False,True
105.0,,2,1.0,6,881,189000,HouseType 1: Pisos,1995.0,True,False
95.0,,4,1.0,4,698,138000,HouseType 1: Pisos,,True,False
120.0,,3,1.0,2,901,195000,HouseType 1: Pisos,1962.0,True,False
90.0,,3,2.0,4,985,222000,HouseType 1: Pisos,2001.0,True,False
64.0,,3,1.0,Bajo,449,80500,HouseType 1: Pisos,,True,False
80.0,65.0,3,1.0,3,857,182000,HouseType 1: Pisos,1974.0,,
120.0,85.0,3,2.0,2,1187,295000,HouseType 1: Pisos,2003.0,True,False
82.0,71.0,2,2.0,6,1122,270000,HouseType 1: Pisos,,,
81.0,,3,1.0,3,609,116100,HouseType 1: Pisos,,,
103.0,,3,2.0,4,1067,250000,HouseType 1: Pisos,,True,False
63.0,,3,1.0,4,446,79900,HouseType 1: Pisos,,,
70.0,,3,1.0,3,535,99000,HouseType 1: Pisos,,,
60.0,,3,1.0,2,420,74550,HouseType 1: Pisos,1960.0,True,False
45.0,36.0,2,1.0,3,561,105000,HouseType 1: Pisos,1960.0,,
95.0,85.0,3,1.0,2,666,130000,HouseType 1: Pisos,1985.0,True,False
70.0,,3,1.0,2,625,120000,HouseType 1: Pisos,,,
71.0,,3,1.0,1,740,149000,HouseType 1: Pisos,1970.0,,
70.0,,3,1.0,3,686,135000,HouseType 1: Pisos,1969.0,True,False
98.0,85.0,4,2.0,Bajo,1009,230000,HouseType 1: Pisos,1977.0,True,False
55.0,,3,1.0,2,499,91000,HouseType 1: Pisos,,,
115.0,,4,1.0,1,867,184900,HouseType 1: Pisos,,True,False
78.0,,3,1.0,4,654,127000,HouseType 1: Pisos,,,
68.0,,3,1.0,4,465,83900,HouseType 1: Pisos,,,
120.0,110.0,3,1.0,2,851,180000,HouseType 1: Pisos,,,
64.0,,3,1.0,1,428,76000,HouseType 1: Pisos,,True,False
92.0,,4,1.0,5,791,163000,HouseType 1: Pisos,,,
154.0,,3,2.0,3,1148,280000,HouseType 1: Pisos,,,
105.0,95.0,3,2.0,Bajo,851,180000,HouseType 1: Pisos,,True,False
70.0,60.0,2,1.0,Bajo,658,128000,HouseType 1: Pisos,1965.0,True,False
93.0,,3,1.0,2,803,166200,HouseType 1: Pisos,1972.0,False,True
53.0,,3,1.0,3,601,114300,HouseType 1: Pisos,,,
